Year,Living Planet Index,Upper CI,Lower CI
1970,100,100,100
1971,99.70049,105.50579,95.26554
1972,98.18143,108.23327,90.619797
1973,96.02159999999999,108.92596,86.65405
1974,92.0816,104.92985999999999,82.373613
1975,89.986813,103.11446,79.93089
1976,89.22585,102.77493,78.64761
1977,89.83210299999999,104.33984999999998,78.41815
1978,90.75527,106.49017,78.33395
1979,91.132224,107.94581000000001,77.92059
1980,90.86614,108.34336,77.14146
1981,90.088695,107.81163000000001,76.10939
1982,89.639145,107.71284999999999,75.36084
1983,89.53062,108.12254999999999,74.878985
1984,88.89054,108.07860000000001,73.898184
1985,88.7671,108.63074999999999,73.42565
1986,88.24642,108.60078,72.682476
1987,87.489575,107.94314,71.763223
1988,86.57777300000001,107.15538,70.691913
1989,85.273826,105.96768,69.26593
1990,85.23145,106.39251,68.94315
1991,84.330565,105.55338,67.954826
1992,84.54887,106.04084,67.92086400000001
1993,84.59546999999999,106.3081,67.76249399999999
1994,85.154176,107.3702,68.00260999999999
1995,82.9825,105.20239000000001,65.94427
1996,80.45053,102.6562,63.58123
1997,77.97703,100.13014,61.25174
1998,76.00232,98.083544,59.413090000000004
1999,74.02555,95.95401,57.599103
2000,72.16022600000001,93.95517,55.86932
2001,70.79394500000001,92.545867,54.542536
2002,71.13185,93.50483,54.4309
2003,71.88987999999999,95.105845,54.63365
2004,73.64513000000001,98.0256,55.561805
2005,73.688024,98.710823,55.250895
2006,73.619944,99.06654,54.99012
2007,73.567396,99.304825,54.818940000000005
2008,73.55834,99.438083,54.731624999999994
2009,73.344666,99.3761,54.35497
2010,72.69097,98.800534,53.67337
2011,72.316015,98.468244,53.235096000000006
2012,70.99258,96.95509,52.03845499999999
2013,70.26417000000001,96.50061,51.205619999999996
2014,70.784634,97.82638,51.203024
2015,72.96427,101.4748,52.56578
2016,75.43352,105.72767999999999,54.017854
2017,77.50175999999999,109.47368,55.236315999999995
2018,79.64778,113.08709999999999,56.51432
