year ,population
1950,544044354
1951,553758251
1952,565131436
1953,577557142
1954,590113861
1955,603547012
1956,616558585
1957,630356210
1958,644219484
1959,652708210
1960,654802066
1961,655773482
1962,665073692
1963,684552645
1964,704798265
1965,723415737
1966,742402209
1967,761026025
1968,781011031
1969,802140343
1970,823308968
1971,844069870
1972,863677811
1973,882576941
1974,900307583
1975,916116795
1976,930372293
1977,943546379
1978,956161484
1979,969288069
1980,983163545
1981,997721068
1982,1013588169
1983,1029064952
1984,1043849645
1985,1059807821
1986,1077233612
1987,1096217446
1988,1115244161
1989,1133991005
1990,1153582718
1991,1170788527
1992,1184574240
1993,1197308569
1994,1209003100
1995,1220133927
1996,1230944812
1997,1241139619
1998,1250847121
1999,1260176650
2000,1269581164
2001,1278725057
2002,1286866839
2003,1294517315
2004,1302100319
2005,1310027138
2006,1318054037
2007,1325813580
2008,1333821009
2009,1342522709
2010,1351561511
2011,1360250657
2012,1369520865
2013,1379008046
2014,1387951973
2015,1396134164
2016,1404052626
2017,1412354742
2018,1419008963
2019,1423520354
2020,1426106083
2021,1426437276
2022,1425179562
2023,1422584937
