year,population
1950,154202683
1951,156481322
1952,158794225
1953,161168319
1954,163636304
1955,166200030
1956,168824963
1957,171499235
1958,174215305
1959,177145772
1960,180274554
1961,183489491
1962,186724277
1963,189825228
1964,192819456
1965,195653775
1966,198265397
1967,200699913
1968,203011021
1969,205300032
1970,207796339
1971,210426424
1972,212842574
1973,215006548
1974,217076474
1975,219129300
1976,221168756
1977,223259417
1978,225396098
1979,227575083
1980,229858654
1981,232201613
1982,234583158
1983,236986362
1984,239353968
1985,241690439
1986,243953810
1987,246161292
1988,248393235
1989,250675047
1990,253373385
1991,256471425
1992,259606020
1993,262633235
1994,265474811
1995,268205794
1996,270860696
1997,273468014
1998,276119323
1999,278785482
2000,281484127
2001,284279629
2002,287084336
2003,289908091
2004,292786247
2005,295716665
2006,298730210
2007,301844227
2008,304970328
2009,308023451
2010,311062786
2011,314105078
2012,317115348
2013,320110753
2014,323115378
2015,326126498
2016,329179421
2017,332204656
2018,335056495
2019,337790068
2020,339436157
2021,340161441
2022,341534041
2023,343477332
